carId;model;version;price;fuel;year;kms;power;doors;change;color
1866;Clase GLC;MERCEDES-BENZ Clase GLC GLC 300 d 4MATIC 5p.;55000;Diesel;2019;19000;245;5;Automatico;Negro
1867;Espace;RENAULT Espace Expression 1.9 dCi 5p.;3300;Diesel;2006;180000;120;5;Manual;Gris / Plata
1868;ix55;HYUNDAI ix55 3.0 CRDi VGT GLS Aut. Style 5p.;8900;Diesel;2010;250000;240;5;Automatico;Beige
1869;Range Rover Sport;LAND-ROVER Range Rover Sport 3.0 SDV6 292cv HSE 5p.;35490;Diesel;2014;210500;292;5;Automatico;Negro
1870;JUKE;NISSAN JUKE 1.6 ACENTA 4X2 5p.;7900;Gasolina;2013;65500;117;5;Manual;Rojo (ROJO FUERTE)
1871;Macan;PORSCHE Macan S Diesel 5p.;55000;Diesel;2016;40000;258;5;Automatico;Blanco
1872;Rodius;SSANGYONG Rodius eXdi Premium 5p.;14500;Diesel;2015;142367;155;5;Manual;Gris / Plata
1873;Caddy;VOLKSWAGEN Caddy Profesional Kombi 2.0 TDI 55kW BMT;8990;Diesel;2017;143000;75;4;Manual;Blanco
1874;C2;CITROEN C2 1.1I Audace 3p.;3490;Gasolina;2008;119000;61;3;Manual;Negro
1875;Passat CC;VOLKSWAGEN Passat CC 2.0 TDI 140cv BlueMotion Technology 4p.;10999;Diesel;2012;207838;140;4;Automatico;Blanco
1876;Auris;TOYOTA Auris 1.8 140H Hybrid Feel Edition 5p.;15300;Hibrido;2018;53000;136;5;Automatico;Blanco
1877;Mondeo;FORD Mondeo 2.0 TDCi 110kW 150CV Business 5p.;14300;Diesel;2018;90000;150;5;Manual;P05 Gris MagnAtico (metalizada)
1878;Partner;PEUGEOT Partner Furgon Confort Pack L1 1.6 HDi 75;6900;Diesel;2016;92592;75;4;Manual;Blanco
1879;XC70;VOLVO XC70 2.0 D4 Momentum Auto 5p.;17900;Diesel;2016;156328;181;5;Automatico;Blanco
1880;Megane;RENAULT Megane Business Blue dCi 85kW 115CV  18 5p.;16750;Diesel;2019;17811;115;5;Manual;Blanco
1881;Clase C;MERCEDES-BENZ Clase C C 180 CLASSIC 4p.;2550;Gasolina;1999;241000;122;4;Automatico;Gris / Plata
1882;5008;PEUGEOT 5008 Allure 2.0 BlueHDi 110KW 150CV 5p.;14950;Diesel;2016;99000;150;5;Manual;Marron
1883;Touran;VOLKSWAGEN Touran Advance 2.0 TDI 140CV 5p.;16900;Diesel;2015;88268;140;5;Manual;Negro (Tela Miu Antracita)
1884;Zafira;OPEL Zafira 1.9 CDTi 120 CV Energy 5p.;3200;Diesel;2008;178000;120;5;Manual;Azul
1885;Ibiza;SEAT Ibiza 1.6 TDI 105cv Style DPF 5p.;7500;Diesel;2011;60000;105;5;Manual;Blanco
